country,region_scope,education_level,qualification,qualification_type,grade_year,age_range,duration,framework_level,institution_type,exam,admission_requirement,progression_to,official_term,common_terms,credit_requirement,verification,source,source_type,research_date,notes
Australia,National,Postgraduate,Masters Degree (Research),degree,,,1-2 years,AQF 9,University,Thesis,Bachelor Honours or equivalent,Doctoral Degree,Masters Degree (Research),Masters,,confirmed,AQF,Tier1-framework,2026-08-21,
Australia,National,Postgraduate,Masters Degree (Coursework),degree,,,1-2 years,AQF 9,University,Coursework,Bachelor Degree,Doctoral Degree,Masters Degree (Coursework),Masters,,confirmed,AQF,Tier1-framework,2026-08-21,
Australia,National,Postgraduate,Masters Degree (Extended),degree,,,3-4 years,AQF 9,University,Coursework + professional placement,Bachelor Degree,Doctoral Degree,Masters Degree (Extended),"reportedly includes Juris Doctor and Doctor of Medicine",,confirmed,AQF,Tier1-framework,2026-08-21,"Australian JD and MD are reportedly AQF 9 Masters (Extended), NOT doctorates - verify which qualifications."
Australia,National,Doctoral,Doctoral Degree,degree,,,3-4 years,AQF 10,University,Thesis,Masters or Bachelor Honours,,Doctoral Degree,"PhD; doctorate",,confirmed,AQF,Tier1-framework,2026-08-21,
Canada,Québec,Secondary,DES (Diplôme d'études secondaires),school certificate,Secondary I-V,~12-17,5 years,CDQF does not cover,Secondary school,Ministry examinations in some subjects,Elementary completion,CEGEP,Diplôme d'études secondaires,"DES; Diploma of Secondary Studies",,confirmed,Gouvernement du Québec; EMSB,Tier1-government,2026-08-21,"'Corresponds to grade 11 in other jurisdictions' - 11 years of schooling, not 12."
Canada,Québec,Post-secondary (pre-university),DEC / DCS (pre-university),college diploma,,,2 years,CDQF does not cover,CEGEP,CEGEP assessment,DES,Bachelor's degree (typically 3 years),Diplôme d'études collégiales,"DEC; DCS; Diploma of College Studies",,confirmed,Gouvernement du Québec,Tier1-government,2026-08-21,"CEGEP 'encompasses grade 12 from high school and the first year of university'. Named in the CDQF as a bachelor's-entry qualification."
Canada,Québec,Post-secondary (technical),DEC / DCS (technical),college diploma,,,generally 3 years,CDQF does not cover,CEGEP,CEGEP assessment,DES,"job market OR university (if prerequisites met)",Diplôme d'études collégiales,"DEC; DCS; technical DEC",,confirmed,Gouvernement du Québec,Tier1-government,2026-08-21,"Dual character: terminal vocational credential AND university pathway."
Canada,Ontario,Secondary,OSSD (Ontario Secondary School Diploma),school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,"OSSLT (or OLC4O course)",Grade 8 completion,University or college,Ontario Secondary School Diploma,OSSD,"30 credits: 18 compulsory + 12 optional (Grade 9 entry 1999-2000+); 17 compulsory + 13 optional (Grade 9 entry 2024-25+)",confirmed,Government of Ontario,Tier1-government,2026-08-21,"Also requires 40 hours of community involvement (not paid work, not credit-bearing)."
Canada,British Columbia,Secondary,B.C. Certificate of Graduation (Dogwood Diploma),school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,Provincial numeracy and literacy assessments,Grade 8 completion,University or college,B.C. Certificate of Graduation,"Dogwood Diploma","80 credits: 52 required (incl. 8 Career Education) + minimum 28 elective",confirmed,Province of British Columbia,Tier1-government,2026-08-21,
Canada,Alberta,Secondary,Alberta High School Diploma,school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,Diploma examinations (30-level),Grade 9 completion,University or college,Alberta High School Diploma,"Alberta diploma","Minimum 100 credits, mainly at the '30' level",warn,Alberta Education (via secondary sources),Tier1-body-unverified,2026-08-21,"Subject-requirement figures from the source are internally inconsistent - VERIFY. 30-1 vs 30-2 course level matters for admission."
Canada,"Other 9 jurisdictions",Secondary,Provincial/territorial secondary school diploma,school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,Varies,Varies,University or college,Varies by jurisdiction,Varies,Varies,unresolved,Each provincial/territorial ministry,gap,2026-08-21,"PRIORITY GAP: SK, MB, NB, NS, PE, NL, YT, NT, NU secondary diplomas not researched."
Canada,National (CDQF),Undergraduate,Bachelor's degree,degree,,,"typically 6-8 semesters or more",CDQF: Bachelor's,University; degree-granting college,Institutional,"A secondary school or CEGEP diploma and/or university preparatory courses, a minimum GPA","Master's degree; second-entry professional programs",Bachelor's degree,"bachelor's; undergraduate degree","Normally 90-120 credits, or the equivalent",confirmed,CMEC Ministerial Statement 2007 (CDQF),Tier1-framework,2026-08-21,"Range attributed by the CDQF itself to 'variations in pre-university studies among the provinces/territories'. Four program types: broad education; in-depth disciplinary; applied; professional."
Canada,National (CDQF),Undergraduate professional (second-entry),"MD / DDS / LLB / JD",degree (bachelor's-level in academic standing),,,varies,CDQF: Bachelor's,University,Institutional + admission tests to the profession,"At least two or three years of completed degree-level studies, or a prior/concurrent undergraduate degree",Residency/practice; graduate study,"Professional-focus bachelor's programs","MD; DDS; LLB; JD",,confirmed,CMEC Ministerial Statement 2007 (CDQF),Tier1-framework,2026-08-21,"CRITICAL: 'Though considered to be bachelor's programs in academic standing, some professional programs yield degrees with other nomenclature.' Contrast the UK, where these are FHEQ 7."
Canada,National (CDQF),Postgraduate,Master's degree,degree,,,"typically two to six semesters",CDQF: Master's,University,Institutional,"An undergraduate degree with an appropriate specialization, or an undergraduate degree with relevant bridging studies",Doctoral degree,Master's degree,"master's",,confirmed,CMEC Ministerial Statement 2007 (CDQF),Tier1-framework,2026-08-21,"Research-oriented or profession-oriented (e.g. MSW). 2-6 semesters is roughly 1-3 years."
Canada,National (CDQF),Doctoral,Doctoral degree (research),degree,,,"typically three to six years",CDQF: Doctoral,University,Dissertation,"A master's degree with an appropriate specialization, or with appropriate bridging studies",,Doctoral degree,"PhD",,confirmed,CMEC Ministerial Statement 2007 (CDQF),Tier1-framework,2026-08-21,"Research-oriented doctoral programs lead to the PhD."
Canada,National (CDQF),Doctoral,Doctoral degree (practice-oriented),degree,,,"typically three to six years",CDQF: Doctoral,University,"Internship/exhibition; may also require a dissertation",A master's degree,,Doctoral degree,"EdD; MusDoc; PsyD",,confirmed,CMEC Ministerial Statement 2007 (CDQF),Tier1-framework,2026-08-21,"'Typically involve more course work than doctoral programs with a more theoretical or disciplinary focus.'"
Canada,"Provincial (not in CDQF)",College,"Certificate / Diploma / Advanced Diploma",college credential,,,1-3 years,Not covered by any pan-Canadian framework,Community college; polytechnic; institute,Institutional,Secondary school diploma,"Employment; university with transfer credit",Varies by province,"college diploma",Varies,unresolved,Provincial ministries; colleges,gap,2026-08-21,"PRIORITY GAP: Canadian college credential taxonomy and durations not researched."
United Kingdom,"England",Secondary,GCSE,school certificate,end of Year 11,~15-16,2 years (KS4),"RQF 2 (grades 9-4); RQF 1 (grades 3-1)","School; FE college","GCSE examinations (AQA, Pearson Edexcel, OCR, Eduqas)",Key Stage 3 completion,A level; T Level; BTEC; further education,General Certificate of Secondary Education,GCSE,,confirmed,UK ENIC Guide to the Education Systems of the UK (2023),Tier1-recognition-body,2026-08-21,"Graded 9 (highest) to 1 (lowest). Grade determines RQF level. C or 4 is 'a good pass'. Linear assessment."
United Kingdom,"Wales",Secondary,GCSE,school certificate,end of Year 11,~15-16,,"RQF 2 (A*-C); RQF 1 (D-G)","School; FE college",GCSE examinations (WJEC; designated GCSEs from other boards),,A level; further education,General Certificate of Secondary Education,GCSE,,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"Graded A* to G. Welsh is compulsory. Single-board (WJEC) model. Some GCSEs allow staged assessment. New suite: first teaching 2025, first certification 2027."
United Kingdom,"Northern Ireland",Secondary,GCSE,school certificate,end of Year 12 (NI),~15-16,,"RQF 2 (A*-C); RQF 1 (D-G)","School; FE college",GCSE examinations (CCEA and approved boards),,A level; further education,General Certificate of Secondary Education,GCSE,,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"Graded A* to G, with a C* grade introduced in 2019 sitting BETWEEN C and B. NI Year 12 = England Year 11."
United Kingdom,"England, Wales, NI",Upper secondary,GCE A level,school-leaving qualification,Years 12-13 (NI 13-14),~16-18,2 years,RQF 3,"School sixth form; sixth-form college; FE college",A level examinations,GCSEs (typically grade 4/C+),Higher education,General Certificate of Education Advanced Level,"A level; A-Levels",,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"The principal university-entrance qualification in England, Wales and NI. Grade scale not captured verbatim in this pass."
United Kingdom,England,Upper secondary,T Level,technical qualification,Years 12-13,~16-18,2 years,RQF 3,"School; FE college",Assessment,GCSEs,Higher education; employment,T Level,T Levels,,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"England-specific. Reportedly graded Pass/Merit/Distinction/Distinction*."
United Kingdom,Scotland,Secondary,National 5,school qualification,S4,~15-16,1 year,SCQF 5,School,SQA examination,National 4 or equivalent,Higher,National 5,Nat 5,24 SCQF credit points (reported),confirmed,UK ENIC Guide (2023); SCQF,Tier1-recognition-body,2026-08-21,"Typically taken in S4."
United Kingdom,Scotland,Upper secondary,Higher,school-leaving qualification,S5,~16-17,1 year,SCQF 6,School,SQA examination,National 5,Advanced Higher; higher education,Higher,Highers,24 SCQF credit points (reported),confirmed,UK ENIC Guide (2023); SCQF,Tier1-recognition-body,2026-08-21,"The university-facing Scottish qualification, typically taken in S5."
United Kingdom,Scotland,Upper secondary,Advanced Higher,school qualification,S6,~17-18,1 year,SCQF 7,School,SQA examination,Higher,Higher education,Advanced Higher,Advanced Highers,32 SCQF credit points (reported),confirmed,UK ENIC Guide (2023); SCQF,Tier1-recognition-body,2026-08-21,"Typically taken in S6 'for pupils who need depth'."
United Kingdom,Scotland,Upper secondary,Scottish Baccalaureate,school qualification,S6,~17-18,,SCQF 7,School,SQA,Highers,Higher education,Scottish Baccalaureate,,,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,
United Kingdom,Wales,Upper secondary,"Welsh Baccalaureate / Advanced Skills Baccalaureate Wales",overarching qualification,Years 12-13,~16-18,2 years,,"School; FE college",Skills Challenge Certificate + Supporting Qualifications,GCSEs,Higher education,"Welsh Baccalaureate Qualification (WBQ); Advanced Skills Baccalaureate Wales",Welsh Bacc,,warn,"WJEC; GOV.WALES; UCAS QIP",Tier2,2026-08-21,"National SCC graded A*-C; Advanced SCC A*-E and 'comparable in size and challenge to a GCE A level'. Advanced Welsh Bacc replaced Sept 2023, awarded from Summer 2025."
United Kingdom,UK,Higher ed short-cycle,Certificate of Higher Education (CertHE),certificate,,,,FHEQ 4 / SCQF 7,Higher education institution; FE college,Institutional,A levels/Highers or equivalent,DipHE; Bachelor,Certificate of Higher Education,CertHE,,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,
United Kingdom,UK,Higher ed short-cycle,Higher National Certificate (HNC),certificate,,,,FHEQ 4 / SCQF 7,FE college; HE institution,Institutional,A levels/Highers or equivalent,HND,Higher National Certificate,HNC,,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"Also appears on the RQF as BTEC Level 4 HNC."
United Kingdom,UK,Higher ed short-cycle,Diploma of Higher Education (DipHE),diploma,,,,FHEQ 5 / SCQF 8,HE institution; FE college,Institutional,A levels/Highers or equivalent,Bachelor Degree,Diploma of Higher Education,DipHE,,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,
United Kingdom,UK,Higher ed short-cycle,Higher National Diploma (HND),diploma,,,,FHEQ 5 / SCQF 8,FE college; HE institution,Institutional,A levels/Highers/HNC,Bachelor Degree (with credit),Higher National Diploma,HND,,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"Also appears on the RQF as BTEC Level 5 HND."
United Kingdom,"England, Wales, NI",Higher ed short-cycle,Foundation degree,degree,,,,FHEQ 5,HE institution; FE college,Institutional,A levels or equivalent,Bachelor Degree,Foundation degree,"FdA; FdSc",,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"An England/Wales/NI qualification - not on the SCQF."
United Kingdom,"England, Wales, NI",Undergraduate,Bachelor Degree with Honours,degree,,,Three or four years,FHEQ 6,"HE institution (Recognised Body awards; Recognised and Listed Bodies deliver)","Examinations, coursework",A levels or equivalent,"Master's; PGDip/PGCert; Doctoral",Bachelor Degree with Honours,"BA (Hons); BSc (Hons)",CATS 360-480,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"Classified: First class (1st), upper second (2.1), lower second (2.2), third class (3rd)."
United Kingdom,Scotland,Undergraduate,Bachelor Degree with Honours,degree,,,Four years,SCQF 10,HE institution,"Examinations, coursework",Highers/Advanced Highers,"Master's; PGDip/PGCert; Doctoral",Bachelor Degree with Honours,"BA (Hons); BSc (Hons); MA (Hons) at the ancient universities","480 SCQF credits (min 180 at SCQF 9-10, incl. min 90 at SCQF 10)",confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"CRITICAL: at Aberdeen, Edinburgh, Glasgow and St Andrews the undergraduate degree is titled MA or MA (Hons)."
United Kingdom,"England, NI, Wales",Undergraduate,Bachelor (Ordinary) degree,degree,,,Three years,FHEQ 6,HE institution,"Examinations, coursework",A levels or equivalent,Master's,Bachelor (Ordinary) degree,"Pass degree; BA; BSc",CATS 360,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"Graded PASS/FAIL - no classification. 'Much less common' than Honours."
United Kingdom,Scotland,Undergraduate,Bachelor (Ordinary) degree,degree,,,Three years,SCQF 9,HE institution,"Examinations, coursework",Highers,Honours; Master's,Bachelor (Ordinary) degree,"BA; BSc; MA","360 SCQF credits (min 60 at SCQF 9)",confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"Graded PASS/FAIL. A standard Scottish qualification."
United Kingdom,UK,Graduate,Graduate Certificate / Graduate Diploma,certificate/diploma,,,,FHEQ 6 / SCQF 9 and 10,HE institution,Institutional,Bachelor Degree or equivalent,Master's,Graduate Certificate; Graduate Diploma,"GradCert; GradDip",,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"FHEQ 6 = bachelor's level. DIFFERENT from Postgraduate Certificate/Diploma (FHEQ 7)."
United Kingdom,UK,Postgraduate,Postgraduate Certificate / Postgraduate Diploma,certificate/diploma,,,,FHEQ 7 / SCQF 11,HE institution,Institutional,Bachelor Degree,Master's,Postgraduate Certificate; Postgraduate Diploma,"PGCert; PGDip",,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,
United Kingdom,UK,Postgraduate,Master's degree,degree,,,,FHEQ 7 / SCQF 11,HE institution,Institutional,Bachelor Degree,Doctoral degree,Master's degree,"MA; MSc; MPhil; MRes",,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,
United Kingdom,UK,Postgraduate,Integrated Master's degree,degree,,,4+ years,FHEQ 7 / SCQF 11,HE institution,Institutional,A levels/Highers (UNDERGRADUATE entry),Doctoral degree,Integrated Master's degree,"MChem; MEng; MPhys",,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"Undergraduate entry but reaches master's level. NOT a bachelor's degree."
United Kingdom,UK,Postgraduate professional,"Primary qualifications in medicine, dentistry and veterinary science",first degree at master's level,,,5-6 years,FHEQ 7 / SCQF 11,HE institution,Institutional + professional,A levels/Highers,Foundation training; specialist training,"Primary qualifications (or first degrees) in medicine, dentistry and veterinary science","MB BS; MB ChB; BDS; BVSc; BVMS",,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"CRITICAL: FHEQ 7 / Bologna SECOND CYCLE. Contrast Canada, where MD/DDS are bachelor's-level in academic standing."
United Kingdom,UK,Doctoral,Doctoral degree,degree,,,,FHEQ 8 / SCQF 12,HE institution,Thesis,Master's degree,,Doctoral degree,"PhD; DPhil; EdD; DBA",,confirmed,UK ENIC Guide (2023),Tier1-recognition-body,2026-08-21,"Bologna third cycle."
United States,"State/district (50 + DC + territories)",Upper secondary,High School Diploma,school-leaving certificate,Grades 9-12,~14-18,4 years,No national framework,"Public, charter, private or parochial high school",No national examination; some states require standardized tests,Grade 8 completion,College/university; community college,High School Diploma,"high school diploma; HS diploma","Most states 18-26 credits (most commonly 20-24); national range 13-40",warn,State education departments (via secondary sources),Tier2,2026-08-21,"Credit counts NOT comparable across states. May also require service hours and/or a minimum GPA. Diploma types (standard/advanced/alternative) not researched."
United States,National,Upper secondary equivalency,GED,equivalency credential,,adult,varies,No national framework,GED Testing Service,Four academic subject tests,none,College/university; community college,General Educational Development,GED,,confirmed,"GED description via secondary sources",Tier3,2026-08-21,"'An alternative to the U.S. high school diploma' - NOT a diploma."
United States,National,Upper secondary equivalency,HiSET,equivalency credential,,adult,varies,No national framework,ETS,Subject tests,none,College/university; community college,High School Equivalency Test,HiSET,,confirmed,secondary sources,Tier3,2026-08-21,The other main US equivalency route.
United States,National,Higher ed short-cycle,Certificate,certificate,,,months to 1 year,No national framework,Community college; technical institute,Institutional,High School Diploma or GED/HiSET,Associate degree; employment,Certificate,certificate,varies,warn,secondary sources,Tier3,2026-08-21,
United States,National,Higher ed short-cycle,Associate degree,degree,,,~2 years,No national framework,Community college; some four-year institutions,Institutional,High School Diploma or GED/HiSET (community colleges typically open-access),"Bachelor's degree via transfer (""2+2"")",Associate degree,"AA; AS; AAS; associate's",~60 semester credits,warn,secondary sources,Tier3,2026-08-21,"Functions BOTH as a terminal credential AND as the first half of a bachelor's degree. AAS may transfer less readily."
United States,National,Undergraduate,Bachelor's degree,degree,,,~4 years,No national framework,"University; college (accredited by a USDE/CHEA-recognised accreditor)",Institutional,High School Diploma or GED/HiSET; SAT/ACT where required,Master's degree; professional doctorate,Bachelor's degree,"BA; BS; BFA; BBA; bachelor's","~120 semester credits (range 120-132)",warn,secondary sources; 34 CFR 600.2 for the credit unit,Tier3 + Tier1-regulation,2026-08-21,"Typically includes substantial general-education breadth requirements outside the major. A US semester credit is federally defined (~45 notional hours)."
United States,National,Postgraduate,Master's degree,degree,,,1-2 years,No national framework,University,Institutional; thesis or coursework,Bachelor's degree; GRE/GMAT where required,Doctoral degree,Master's degree,"MA; MS; MBA; MEd; MSW",30-60 semester credits,warn,secondary sources,Tier3,2026-08-21,
United States,National,Doctoral (research),PhD,degree,,,4-7 years,No national framework,University,Dissertation,Bachelor's or Master's degree,,Doctor of Philosophy,"PhD; doctorate","60-90 semester credits coursework + dissertation",warn,secondary sources,Tier3,2026-08-21,
United States,National,Professional doctorate,Juris Doctor (JD),professional degree,,,3 years,No national framework,Law school (ABA-accredited),Institutional,"A bachelor's degree; LSAT",Bar admission,Juris Doctor,JD,"~83-90 semester credits (Penn 86; Notre Dame minimum 90)",warn,institutional sources,Tier2,2026-08-21,"Entered AFTER a bachelor's degree. No US framework level exists to state. Contrast Canada (bachelor's-level) and the UK (FHEQ 7)."
United States,National,Professional doctorate,Doctor of Medicine (MD),professional degree,,,4 years,No national framework,Medical school (LCME-accredited),Institutional,"A bachelor's degree; MCAT",Residency,Doctor of Medicine,MD,varies widely (one documented example: 182 credits),warn,institutional sources,Tier2,2026-08-21,"Entered AFTER a bachelor's degree. No US framework level exists to state."
Canada,Saskatchewan,Secondary,Grade 12 standing,school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,Varies,Grade 9 completion,University or college,Grade 12 standing,Saskatchewan high school diploma,"24 credits from Grades 10 to 12",warn,secondary sources,Tier2,2026-08-21,"ADDED 2026-08-21. Must pass certain courses including English language arts, mathematics and science."
Canada,Manitoba,Secondary,Manitoba High School Diploma,school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,Varies,Grade 9 completion,University or college,Manitoba High School Diploma,Manitoba diploma,"30 credits (compulsory + optional)",confirmed,Manitoba Education and Early Childhood Learning,Tier1-government,2026-08-21,"ADDED 2026-08-21. Four programme pathways: Senior Years English, Francais, French Immersion, Technology Education. French Immersion students starting Grade 9 must earn a minimum of 15 credits taught in French (from September 2024)."
Canada,New Brunswick,Secondary,New Brunswick High School Diploma,school-leaving certificate,to Grade 12,~14-18,3 credit-bearing years (Grades 10-12),CDQF does not cover,Secondary school,School-based assessment,Grade 9 completion,University or college,New Brunswick High School Diploma,NB diploma,"100 CREDIT-HOURS (80 from core clusters + 20 from flexible options); prescribed courses = 90 hours instructional time = 4 credit-hours",confirmed,CMEC Student Transfer Guide 2023-24 (New Brunswick),Tier1-government,2026-08-21,"ADDED 2026-08-21. From September 2023 a credit-HOUR system. Grade 9 courses receive NO credit-hours. PASS MARK 60%. Issued by EECD with schools acting on its behalf. Policy 316A; requirements change again for students graduating 2026 and after."
Canada,Nova Scotia,Secondary,Nova Scotia High School Graduation Diploma,school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,Varies,Grade 9 completion,University or college,Nova Scotia High School Graduation Diploma,NS diploma,"18 credits; no more than 7 for grade 10 courses; at least 5 for grade 12 courses",warn,Nova Scotia Department of Education (ednet.ns.ca),Tier1-government,2026-08-21,"ADDED 2026-08-21. The LOWEST credit total of any Canadian jurisdiction - and a COMPLETE diploma."
Canada,Prince Edward Island,Secondary,Provincial Senior High Graduation Diploma,school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,School-based assessment,Grade 9 completion,University or college,Provincial Senior High Graduation Diploma,PEI diploma,"20 credits, of which 12 are compulsory (3 language incl. one at grade 12/600 level, 2 mathematics, 2 science, plus others)",confirmed,CMEC Student Transfer Guide 2023-24 (Prince Edward Island),Tier1-government,2026-08-21,"ADDED 2026-08-21. PASS MARK 50% in all courses. Three pathways: the 20 Credit Pathway, an Essential Skills Pathway, or the International Baccalaureate Diploma Program. Issued by the PEI Department of Education and Early Years."
Canada,Newfoundland and Labrador,Secondary,High school graduation diploma,school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,Varies,Grade 9 completion,University or college,High school graduation diploma,NL diploma,"36 credits: English Language Arts 6; Optional Language Arts 2; Mathematics 4; Science 4; Social Studies 4; Career Education 2; Fine Arts 2; Physical Education 2; Other Required 6",confirmed,CMEC Student Transfer Guide 2023-24 (Newfoundland and Labrador),Tier1-government,2026-08-21,"ADDED 2026-08-21. French Immersion students must additionally attain six French credits."
Canada,Yukon,Secondary,Yukon secondary school graduation certificate,school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,BC provincial assessments,Grade 9 completion,University or college,Yukon secondary school graduation certificate,"Dogwood Diploma","80 credits in Grades 10, 11 and 12",warn,Government of Yukon,Tier1-government,2026-08-21,"ADDED 2026-08-21. USEFUL SIMPLIFICATION: Yukon follows British Columbia's curriculum and graduation programme - Yukon students must meet the BC requirements in order to graduate, so a Yukon graduate can be read on BC's rules."
Canada,Northwest Territories,Secondary,NWT High School Graduation Diploma,school-leaving certificate,to Grade 12,~14-18,4 years,CDQF does not cover,Secondary school,Varies,Grade 9 completion,University or college,NWT High School Graduation Diploma,NWT diploma,"100 credits",warn,NWT Education Culture and Employment,Tier1-government,2026-08-21,"ADDED 2026-08-21. IN TRANSITION [VOLATILE]: the NWT is moving from a 5-credit to a 4-credit course system and switching curriculum from Alberta to British Columbia; new graduation requirements are being phased in."
Canada,Nunavut,Secondary,High School Graduation Diploma,school-leaving certificate,to Grade 12,~14-18,"junior high 3 years + senior high 3 years",CDQF does not cover,Secondary school,Varies,Grade 9 completion,University or college,High School Graduation Diploma,Nunavut diploma,"minimum 100 credits; no maximum",warn,Government of Nunavut,Tier1-government,2026-08-21,"ADDED 2026-08-21. NWT and Nunavut have historically used the same course names as Alberta."
Canada,Ontario,College,Ontario College Certificate,college credential,,,"two semesters (one year)",OQF level 5,Ontario college (CAAT),Institutional,OSSD or equivalent,Ontario College Diploma; employment,Ontario College Certificate,college certificate,,warn,Ontario Qualifications Framework; Ontario Colleges,Tier1-government,2026-08-21,"ADDED 2026-08-21. Approved by the Ministry of Colleges, Universities, Research Excellence and Security (MCURES)."
Canada,Ontario,College,Ontario College Diploma,college credential,,,"at least four semesters (two years)",OQF level 7,Ontario college (CAAT),Institutional,OSSD or equivalent,Advanced Diploma; degree with transfer credit,Ontario College Diploma,college diploma,,warn,Ontario Qualifications Framework; Ontario Colleges,Tier1-government,2026-08-21,"ADDED 2026-08-21. The standard Ontario college diploma."
Canada,Ontario,College,Ontario College Advanced Diploma,college credential,,,"six semesters (three years)",OQF level 8,Ontario college (CAAT),Institutional,OSSD or equivalent,Degree with transfer credit; Graduate Certificate,Ontario College Advanced Diploma,advanced diploma,,warn,Ontario Qualifications Framework; Ontario Colleges,Tier1-government,2026-08-21,"ADDED 2026-08-21. THREE YEARS - longer than most people assume of a diploma. The full title matters: Certificate (OQF 5) vs Diploma (OQF 7) vs Advanced Diploma (OQF 8)."
Canada,Ontario,College (post-credential),Ontario College Graduate Certificate,college credential,,,"one year or less of full-time study",OQF level 9,Ontario college (CAAT),Institutional,A prior diploma or degree,Employment,Ontario College Graduate Certificate,"graduate certificate; post-diploma certificate",,warn,Ontario Qualifications Framework; Ontario Colleges,Tier1-government,2026-08-21,"ADDED 2026-08-21. TRAP: despite the word certificate this is a POST-diploma/post-degree credential at OQF level 9 - ABOVE the three-year Advanced Diploma."
Australia,National,Doctoral,Higher Doctorate,degree,,,n/a,AQF 10,University,"Internationally recognised original contribution to knowledge",An existing distinguished research record,,Higher Doctoral Degree,Higher Doctorate,,confirmed,AQF Second Edition January 2013,Tier1-framework,2026-08-21,"ADDED 2026-08-21. AQF verbatim: an additional kind of Doctoral Degree, awarded on the basis of an internationally recognised original contribution to knowledge RATHER THAN through the process of supervised independent study. A distinct AQF level 10 qualification type."
Australia,National,Upper secondary,Senior Secondary Certificate of Education,school-leaving certificate,Years 11-12,~16-18,"typically 2 years (official AQF volume of learning)",AQF: SSCE,Senior secondary school,Jurisdiction-specific,Year 10 completion,AQF 5-7,Senior Secondary Certificate of Education,"HSC; VCE; QCE; SACE; WACE; TCE; NTCET; ACT Senior Secondary Certificate",,confirmed,AQF Second Edition January 2013,Tier1-framework,2026-08-21,"ADDED 2026-08-21. The AQF states the volume of learning of a Senior Secondary Certificate of Education is typically 2 years - a figure absent from the earlier draft."
