country,region_scope,education_level,system_name,scale_type,scale_max,scale_min,grade_label,grade_point,marks_range,interpretation,pass_threshold,set_by,verification,source,research_date,notes
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,A,3.75,75 to less than 80,,40%,UGC Bangladesh,confirmed,UGC scheme via Univ. of Rajshahi,2026-08-21,
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,A-,3.50,70 to less than 75,,40%,UGC Bangladesh,confirmed,UGC scheme via Univ. of Rajshahi,2026-08-21,
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,B+,3.25,65 to less than 70,,40%,UGC Bangladesh,confirmed,UGC scheme via Univ. of Rajshahi,2026-08-21,
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,B,3.00,60 to less than 65,,40%,UGC Bangladesh,confirmed,UGC scheme via Univ. of Rajshahi,2026-08-21,
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,B-,2.75,55 to less than 60,,40%,UGC Bangladesh,confirmed,UGC scheme via Univ. of Rajshahi,2026-08-21,
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,C+,2.50,50 to less than 55,,40%,UGC Bangladesh,confirmed,UGC scheme via Univ. of Rajshahi,2026-08-21,
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,C,2.25,45 to less than 50,,40%,UGC Bangladesh,confirmed,UGC scheme via Univ. of Rajshahi,2026-08-21,
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,D,2.00,40 to less than 45,Pass threshold,40%,UGC Bangladesh,confirmed,UGC scheme via Univ. of Rajshahi,2026-08-21,
Bangladesh,National (UGC),Higher education,UGC Uniform Grading Scheme,letter + GPA,4.00,0.00,F,0.00,less than 40,Fail,,UGC Bangladesh,confirmed,UGC scheme via Univ. of Rajshahi,2026-08-21,"Also I (incomplete) and W (withdrawn)."
United Kingdom,England,GCSE,Ofqual official 9-1 to A*-G anchors,anchor points,9,1,Grade 7 bottom = old grade A bottom; Grade 4 bottom = old grade C bottom; Grade 1 bottom = old grade G bottom,,,GRADE 9 HAS NO OLD-SCALE EQUIVALENT - introduced for greater differentiation among top performers,Grade 4 = standard pass; grade 5 = strong pass,Ofqual,confirmed,Ofqual GCSE 9 to 1 grades: a brief guide for parents,2026-08-21,"RESOLVED 2026-08-21. Ofqual publishes THREE anchors, not a full mapping. 9 is NOT A*. Grades 4/5/6 replace old B and C."
United Kingdom,"England, Wales, NI",GCE A level,A level letter scale,letter,A*,E,A*; A; B; C; D; E; U,,,A* introduced 2010; E is the minimum pass; U = unclassified and does not count as a pass,E,Ofqual / CCEA Regulation / Qualifications Wales,warn,multiple sources incl. Ofqual blog,2026-08-21,"6 passing grades plus U. A levels RETAINED letters while England GCSEs moved to 9-1."
United Kingdom,UK,Bachelor Degree with Honours,Honours classification boundaries,percentage + classification,100,0,First-Class Honours (1st),,70 and above,,,Institution,warn,multiple sources,2026-08-21,"RESOLVED 2026-08-21. Standard across most UK universities but institution-set; borderline/discretion rules apply. NOTE: a 2:1 starts at 60% - a UK 62% is a GOOD result."
United Kingdom,UK,Bachelor Degree with Honours,Honours classification boundaries,percentage + classification,100,0,Upper Second-Class Honours (2:1),,60-69,,,Institution,warn,multiple sources,2026-08-21,
United Kingdom,UK,Bachelor Degree with Honours,Honours classification boundaries,percentage + classification,100,0,Lower Second-Class Honours (2:2),,50-59,,,Institution,warn,multiple sources,2026-08-21,
United Kingdom,UK,Bachelor Degree with Honours,Honours classification boundaries,percentage + classification,100,0,Third-Class Honours (3rd),,40-49,,,Institution,warn,multiple sources,2026-08-21,
